,Time_1,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc,direction_change,theta,smooth_theta,dt,gryo_readings,complementary_theta
312,6.208125792,-0.2841091919,-0.2504292297,9.489516449,0.1620076746,0.04361995682,0.09235621989,-11.71270752,-3.545852661,-28.49316406,9.497070878320946,0,196.84292845131762,172.7255895540972,0.019900999999999947,359.99284164855925,161.27911958254128
313,6.228025792,-0.6960525513,-0.1413061523,9.818831635,0.1361112595,0.1016757563,0.1050681174,-0.8212890625,-22.48483276,-38.06494141,9.844486338013064,0,267.90812379501233,172.9962658326048,0.019900000000000695,359.99284164855925,161.51346250754256
314,6.247926792,-1.109043732,0.09984237671,9.973609772,0.07293707132,0.110302031,0.099325791,-0.828918457,-28.07933044,-33.96981812,10.035578627254608,0,268.3090857477641,172.85977196816654,0.019900999999999947,359.99284164855925,161.74038869675505
315,6.267827792,-1.160836029,0.2487826538,9.892029419,-0.01897415891,0.06395474076,0.06831368059,-2.778656006,-25.91452026,-36.88754272,9.96301556364426,0,263.87990559047097,172.6927324336042,0.019900999999999947,359.99284164855925,161.95943557149204
316,6.287728792,-1.130449219,0.582588501,9.513616333,-0.08772870898,0.02333193272,0.05188731104,-2.168151855,-21.34284973,-40.65826416,9.598240491348374,0,264.19940417389466,172.4800206875333,0.019900999999999947,359.99284164855925,162.16984727381285
317,6.307629792,-0.9918374634,0.819994812,9.109905853,-0.1370940804,0.004016255494,0.04265720397,-0.1233520508,-24.60910034,-35.6769104,9.200354215791602,0,269.71280978913177,172.32607228904814,0.019900999999999947,359.99284164855925,162.37297177411756
318,6.327530792,-0.866098938,0.9051676941,8.900940399,-0.1597966701,0.02172695659,0.02266029082,-1.058410645,-28.40054321,-33.74560547,8.988670419555792,0,267.8657305439299,172.1995926178227,0.019900999999999947,359.99284164855925,162.56950419099167
319,6.347431792,-0.7000941467,0.949176178,8.900042267,-0.1793718934,0.0219906494,-0.005689402111,-1.765777588,-23.69651794,-39.50454712,8.977851613025958,0,265.73840481358025,172.02484264962234,0.019900999999999947,359.99284164855925,162.75861096016428
320,6.367332792,-0.489332428,0.9945318604,9.161548462,-0.1721828133,0.03528531268,-0.02920082584,-0.5253601074,-21.54420471,-40.07382202,9.22835359465694,0,268.6031068205886,173.11947654118035,0.019900999999999947,359.99284164855925,162.96582827178457
321,6.387233792,-0.2483335876,1.09871521,9.368118896,-0.1355816126,0.05625875294,-0.03695688024,-0.1192321777,-25.65916443,-34.07727051,9.43559729603844,0,269.7337617359277,174.30761320673486,0.019900999999999947,359.99284164855925,163.19266397048358
322,6.407134792,-0.09101074219,1.09167984,9.337582397,-0.1144471541,0.04979444668,-0.03315834701,-1.355438232,-26.69120789,-36.54138184,9.401621820144683,0,267.0928915848933,175.33095015034382,0.019900999999999947,359.99284164855925,163.43542969408077
323,6.427034792,-0.1342707825,1.019978943,9.227561188,-0.09649866819,0.0445003584,-0.02795220166,-1.351989746,-21.75682068,-41.63653564,9.284733230711613,0,266.4441574554431,176.40922688281725,0.019899999999999807,359.99284164855925,163.6949056378555
324,6.446935792,-0.3894900513,0.8524772644,9.22381897,-0.07239025086,0.04193910584,-0.03598387167,-0.1237182617,-22.32228088,-37.8649292,9.271313627405366,0,269.68244904263616,177.55944408118458,0.019900999999999947,359.99284164855925,163.97219640672208
325,6.466836792,-0.6381230164,0.7137158203,9.389524384,-0.05680676177,0.03708096594,-0.05593281239,-0.8994140625,-27.02323914,-33.61618042,9.438207425880009,0,268.0937291180693,178.87451102119684,0.019900999999999947,359.99284164855925,164.2702426990116
326,6.486737792,-0.7858657837,0.665665741,9.692494354,-0.0411991924,0.045121409,-0.05900945142,-1.473815918,-24.71014404,-38.30596924,9.747058156749317,0,266.58668475719486,179.95541969127953,0.019900999999999947,359.99284164855925,164.58394623885695
327,6.506638792,-0.8406518555,0.6577322388,9.966873779,-0.02869560756,0.07461536676,-0.04144763201,-0.2754516602,-20.34254456,-41.4588623,10.023865530155032,0,269.22422423144485,179.56633716446854,0.019901000000000835,359.99284164855925,164.8835940573692
328,6.526539792,-0.9120533752,0.6483018494,10.26056305,0.01197104715,0.1111239642,-0.00860881526,-0.2757873535,-23.64851379,-34.97253418,10.321399650734124,0,269.33185081897767,179.40387676628924,0.019900999999999947,359.99284164855925,165.17399971154762
