rssi_1,rssi_2,distance_rssi_1,distance_rssi_2
-75,-81,1.9444162861249326,6.26989993895008
-75,-81,1.9429382134246735,6.267091853867096
-75,-81,1.9414021667790888,6.26426901576017
-75,-81,1.9398077048433624,6.261432166574734
-75,-81,1.9381543041629294,6.258582047046566
-75,-84,1.9364414488972808,6.255719684772466
-75,-84,1.9346706801816473,6.252846105579188
-75,-80,1.9328434948673934,6.249961757861658
-75,-80,1.930961389768768,6.247065506990178
-75,-80,1.9290258612547508,6.2441563643094025
-75,-80,1.927038671081849,6.241230756340571
-75,-80,1.9250015786513737,6.238285116454126
-75,-80,1.9229156321382477,6.235316172121236
-75,-80,1.920781879634969,6.232320657340017
-75,-79,1.9186013689080395,6.229295025897172
-75,-79,1.9163751471595465,6.226235738949431
-75,-79,1.914104260793918,6.223138405447394
-75,-79,1.9117896671486434,6.2199982141684576
-75,-79,1.9094323227468213,6.216810364544883
-75,-79,1.9070331830986804,6.213571497742936
-75,-79,1.9045930709428267,6.210278263288915
-75,-79,1.9021126331152847,6.206928605634807
-75,-79,1.8995925165104925,6.203522617979332
-75,-79,1.8970333679617442,6.200062108193988
-75,-79,1.8944360086074035,6.196548596430978
-75,-79,1.8918012583201984,6.192983600989318
-79,-79,1.8891301095544912,6.189367640582249
-79,-83,1.8864235522088497,6.18570180391197
-80,-83,1.8836823565855099,6.181986039773726
-80,-78,1.8809076378423155,6.178219302698763
-80,-78,1.8781005073218622,6.174400551234345
-80,-78,1.875262072369498,6.170528748034481
-80,-78,1.8723933068173222,6.16660115605717
-80,-78,1.869495180955803,6.162614621258004
-80,-78,1.8665686613900734,6.158565999664836
-80,-78,1.8636147967236167,6.154452724538177
-80,-78,1.8606349737940675,6.150272238314971
-83,-78,1.8576307008970063,6.146022134406906
-83,-78,1.854603521153512,6.141699449904955
-83,-78,1.8515548840742564,6.137301233155354
-83,-78,1.8484862312152288,6.132824685338346
-83,-78,1.8453989960220176,6.128267019214005
-83,-78,1.8422946036851298,6.123626164504184
-82,-78,1.8391744286577427,6.118899920200097
-82,-78,1.836039837170089,6.11408609619495
-82,-78,1.83289218712039,6.109182232269223
-81,-78,1.8297327437134945,6.104187848437595
-81,-78,1.8265627642179636,6.099102471012369
-81,-78,1.8233834978910086,6.093926193961685
-81,-78,1.820196102088873,6.088659676570645
-81,-78,1.8170017266202745,6.0833035806839275
-81,-78,1.8138015136993986,6.077858150781875
-81,-78,1.8105967229776245,6.072323635272829
-81,-78,1.807388605552725,6.066700286474342
-81,-78,1.8041784039416116,6.060988360593946
-81,-78,1.8009673935304769,6.0551881177097915
-81,-78,1.7977568408000697,6.049300100331322
-81,-78,1.7945480446452795,6.0433249928508195
-81,-78,1.7913423360134255,6.037263481771872
-81,-78,1.7881410363793673,6.031116116757734
-81,-78,1.7849454577731387,6.024882340172887
-81,-78,1.781756902817229,6.018562710163799
-81,-78,1.7785767057267148,6.012158617987093
-81,-78,1.7754072131265402,6.005671453752966
-81,-78,1.7722507548418802,5.999102606250236
-81,-78,1.7691096033203761,5.992453462774181
-81,-80,1.7659860555063003,5.985725684610003
-77,-80,1.7628822297371385,5.978920929960103
-77,-80,1.7598003915769438,5.972040853745527
-77,-80,1.756742709959087,5.965087107411786
-77,-80,1.7537109755223597,5.958061338739054
-77,-80,1.7507063218611365,5.950965191656331
-77,-78,1.7477298751767034,5.943800032338084
-68,-79,1.7447823527149884,5.936567770859542
-68,-79,1.7418644674004438,5.929270175060735
-68,-79,1.7389769279678569,5.9219090075523075
-67,-79,1.7361203991214629,5.914486025536845
-67,-79,1.7332954221765855,5.907002980635184
-67,-78,1.7305025356961332,5.899461347037556
-67,-78,1.7277422756035599,5.891863272745504
-67,-78,1.7250150958576036,5.884210897588392
-67,-78,1.7223214485046738,5.87650635303226
-67,-79,1.7196616649911858,5.868751897129451
-67,-79,1.7170359967101343,5.860949778491021
-67,-79,1.7144446946316918,5.853102236107812
-66,-79,1.7118879699511151,5.84521149918001
-66,-79,1.7093659944450637,5.837279786955061
-66,-78,1.7068789401186741,5.829309308573966
-67,-79,1.704427057747986,5.821301860804609
-67,-79,1.7020105979938909,5.813258830682147
-67,-79,1.6996298114697295,5.805181599200233
-67,-79,1.6972847534021882,5.797071274267149
-67,-79,1.694975402113756,5.788928559210231
-67,-79,1.6927017375254603,5.780754154861107
-69,-79,1.690463935789756,5.772548892438358
-69,-79,1.688262251413183,5.764313599836695
-69,-79,1.6860969391627705,5.7560498968142095
-69,-80,1.6839682541359065,5.7477595274902935
-69,-80,1.6818764518306528,5.739444227158189
-69,-80,1.6798217882166568,5.731105722209341
-69,-80,1.6778045198065952,5.7227457300631075
-69,-80,1.6758250580773228,5.714365959101424
-69,-80,1.6738838144780208,5.705967320300166
-70,-80,1.6719807770520505,5.697550720133081
-70,-80,1.670116089745379,5.689117060543725
-70,-80,1.6682898979229395,5.680666454105426
-69,-80,1.6665014274738519,5.672199013487849
-69,-80,1.6647499096715737,5.66371589474938
-69,-80,1.6630345810152118,5.655218247777256
-69,-80,1.6613549508532948,5.64670695621713
-69,-80,1.6597100737983053,5.6381840674717285
-82,-80,1.6580995445171545,5.629651617190708
-82,-79,1.656523266148429,5.6211114998018195
-82,-79,1.654981143950437,5.61256559869814
-77,-79,1.6534730091464884,5.604016302364433
-77,-79,1.6519986953323893,5.5954655985404615
-77,-78,1.6505580384518606,5.586915334451247
-77,-78,1.649151028664674,5.578368116916104
-77,-78,1.6477775440997604,5.569826536951899
-77,-78,1.6464374650570495,5.561292401472043
-75,-78,1.6451308633942991,5.552767506349753
-75,-78,1.6438578882249364,5.544252359833542
-75,-78,1.6426186900103865,5.535747084626983
-77,-78,1.6414134961887983,5.527251039023006
-77,-78,1.6402424976406451,5.51876358521392
-77,-78,1.6391058866166919,5.5102840892811695
-77,-78,1.6380035550544005,5.501812934657167
-77,-77,1.636935359452535,5.493349364007227
-77,-77,1.635901196311364,5.484892624645602
-78,-77,1.6349003996753695,5.476443733922239
-78,-77,1.6339323071299308,5.468003702930752
-78,-77,1.632996259673593,5.459573536523969
-78,-80,1.632091827075075,5.4511553629884055
-78,-80,1.6312185442264489,5.442752049382307
-78,-80,1.6303759487037304,5.434366445007984
-78,-80,1.6295634305956066,5.426001381497854
-78,-80,1.628780270286553,5.417659672915301
-78,-80,1.6280255261505494,5.409343866760639
-78,-80,1.6272981848091352,5.401056494737136
-78,-80,1.626597273496418,5.392799079490515
-78,-80,1.625921822379116,5.384572886232282
-70,-80,1.6252705650186297,5.376379172307626
